IdFanModel,Model,Voltage,Frequency,Link,Giri,PotenzaAssorbita,CorrenteAssorbita,Xmin,Xmax,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,PotenzaSonora,PressioneSonora
101,"FC125-AD_.8S._",400,50,0,640,4300,9,37870.86,62303.66,37870.86,40314.14,42635.25,45078.53,47643.98,49965.1,52408.38,54973.82,57417.1,59860.38,62303.66,150.04,145.06,139.09,130.79,117.84,101.91,81,60.08,39.5,18.92,0.33,0,0
102,"FC125-AD_.8S._",400,50,1,490,2600,4.9,27975.57,50209.42,27975.57,30052.36,32373.47,34572.43,36771.38,39092.5,41291.45,43612.57,45689.35,48010.47,50209.42,81,77.68000000000001,73.03,66.72,60.75,53.11,44.48,34.85,24.56,12.61,0.33,0,0
103,"FC125-MD_.7Q._",400,50,0,500,2200,4.5,27874.56,49128.92,27874.56,29878.05,32055.75,34146.34,36324.04,38414.63,40592.33,42682.93,44773.52,46951.22,49128.92,92.34,88.41,82.61,76.40000000000001,68.73999999999999,60.04,50.52,39.75,27.74,14.7,0.21,0,0
104,"FC125-MD_.7Q._",400,50,1,330,1200,2.5,18989.55,33275.26,18989.55,20383.28,21864.11,23170.73,24651.57,26045.3,27526.13,29006.97,30400.7,31881.53,33275.26,39.96,38.92,37.47,35.4,32.09,28.78,24.84,19.67,14.29,7.87,0.41,0,0
105,"FC125-ND_.7M._",400,50,0,380,1150,2.6,22631.58,37697.37,22631.58,24078.95,25657.89,27171.05,28684.21,30197.37,31578.95,33092.11,34671.05,36118.42,37697.37,55.09,52.05,48.77,44.68,40.23,35.2,29.59,23.04,16.02,8.300000000000001,0.35,0,0
106,"FC125-ND_.7M._",400,50,1,250,560,1.2,15000,26842.11,15000,16118.42,17302.63,18486.84,19736.84,20921.05,22039.47,23289.47,24473.68,25657.89,26842.11,23.04,21.87,20.35,18.48,16.84,14.5,12.16,9.359999999999999,6.67,3.63,0.12,0,0
107,"FE040-VD_.2C._",400,50,0,1300,270,0.48,2136.8,4646.91,2136,2383,2638,2884,3139,3386,3633,3888,4144,4391,4646,122,118,112,104,95,84,71,57,40,22,1,0,0
108,"FE040-VD_.2C._",400,50,1,970,180,0.29,1803.01,3809.49,1803.01,1991.95,2197.37,2402.85,2600.17,2805.73,3003.1,3200.55,3398.04,3603.73,3809.49,65.2,63.03,59.77,55.15,49.71,43.46,36.93,28.77,19.8,10.82,0.75,0,0
109,"FE042-VD_.2F._",400,50,0,1340,330,0.58,2400,5222.95,2400,2675.41,2950.82,3236.07,3531.15,3796.72,4081.97,4367.21,4652.46,4937.7,5222.95,135.91,127.99,120.62,110.8,100.97,89.51000000000001,76.69,60.31,43.94,24.56,0.55,0,0
110,"FE042-VD_.2F._",400,50,1,1020,240,0.38,2075.41,4396.72,2075.41,2311.48,2537.71,2763.93,2990.16,3236.07,3462.3,3688.52,3934.43,4160.66,4396.72,77.5,73.68000000000001,70.14,64.41,57.86,50.21,42.57,34.11,23.74,12.83,0.55,0,0
111,"FE045-SD_.4F._",400,50,0,900,220,0.61,2408.7,4991.3,2408.7,2669.57,2913.04,3182.61,3434.78,3695.65,3956.52,4208.7,4460.87,4730.43,4991.3,74.20999999999999,73.22,70.91,67.11,60.99,54.55,45.95,36.86,26.12,14.38,0.5,0,0
112,"FE045-SD_.4F._",400,50,1,700,135,0.31,2060.87,4347.83,2060.87,2286.96,2521.74,2747.83,2965.22,3200,3426.09,3652.17,3886.96,4121.74,4347.83,51.9,50.74,48.76,45.95,42.81,38.35,32.56,26.45,18.84,10.25,0.66,0,0
113,"FE045-VD_.4F._",400,50,0,1340,610,1.15,4017.26,7382.6,4017.26,4358.35,4686.06,5026.85,5354.29,5708.01,6035.43,6375.81,6702.94,7056.13,7382.6,155.15,148.56,138.53,127.55,113.45,99.66,85.23999999999999,68.31999999999999,49.84,28.22,0.02,0,0
114,"FE045-VD_.4F._",400,50,1,1000,410,0.72,2843.49,5950.72,2843.49,3158.68,3460.55,3762.21,4090.12,4378.47,4706.27,5020.87,5322.27,5636.64,5950.72,87.87,86.61,82.84,75.94,68.72,59.32,50.54,40.82,30.16,17,0,0,0
115,"FE050-SD_.4F._",400,50,0,900,320,0.74,3503.85,6455.66,3503.85,3781.58,4101,4392.42,4683.82,4988.89,5280,5570.89,5875.3,6151.75,6455.66,79.93000000000001,76.28,72.3,67.16,61.85,54.89,47.59,38.81,27.37,14.95,0.03,0,0
