IdFanModel,Model,Voltage,Frequency,Giri,PotenzaAssorbita,CorrenteAssorbita,Xmin,Xmax,Coeff1,Coeff2,Coeff3,Coeff4,Coeff5,PotenzaSonora,PressioneSonora
138,"FC045-6E_.4C._",160,50,780,115,0.74,2195.81,3961.41,0,0,0,0,0,0,0
139,"FC045-6E_.4C._",130,50,550,78,0.66,1391.45,2744.7,0,0,0,0,0,0,0
140,"FC045-6E_.4C._",105,50,380,50,0.55,1044.33,1915.27,0,0,0,0,0,0,0
141,"FC050-4D_.4F._",400,50,1380,550,1.05,4931.45,8368.68,0,0,0,0,0,0,0
142,"FC050-4D_.4F._",230,50,1140,430,1.2,4147.99,7380.85,0,0,0,0,0,0,0
143,"FC050-4D_.4F._",180,50,910,320,1.2,3355.47,6059.72,0,0,0,0,0,0,0
144,"FC050-4D_.4F._",140,50,710,200,1,2542.49,4741.03,0,0,0,0,0,0,0
145,"FC050-4E_.4F._",230,50,1290,510,2.3,4570.32,8075.93,0,0,0,0,0,0,0
146,"FC050-4E_.4F._",160,50,1040,390,2.5,3704.92,6873.17,0,0,0,0,0,0,0
147,"FC050-4E_.4F._",130,50,820,310,2.4,2971.53,5611.73,0,0,0,0,0,0,0
148,"FC050-4E_.4F._",105,50,600,210,2.1,2164.8,4276.96,0,0,0,0,0,0,0
149,"FC050-6D_.4C._",400,50,920,200,0.5600000000000001,3213.65,5537.17,0,0,0,0,0,0,0
150,"FC050-6D_.4C._",230,50,770,140,0.49,2710.36,4832.57,0,0,0,0,0,0,0
151,"FC050-6D_.4C._",180,50,610,105,0.47,2215.46,4161.51,0,0,0,0,0,0,0
152,"FC050-6D_.4C._",140,50,470,64,0.4,1619.9,3079.44,0,0,0,0,0,0,0
153,"FC050-6E_.4F._",230,50,920,220,0.96,3122.57,5567.55,0,0,0,0,0,0,0
154,"FC050-6E_.4F._",160,50,800,160,1.05,2710.87,5004.61,0,0,0,0,0,0,0
155,"FC050-6E_.4F._",130,50,540,130,1.1,1828.67,3584.68,0,0,0,0,0,0,0
156,"FC050-6E_.4F._",105,50,370,82,0.9,1274.14,2357.99,0,0,0,0,0,0,0
157,"FC056-4D_.4I._",400,50,1220,1000,1.8,7314.27,12361.48,0,0,0,0,0,0,0
158,"FC056-4D_.4I._",230,50,900,600,1.65,5415.05,9478.65,0,0,0,0,0,0,0
159,"FC056-4D_.4I._",180,50,760,450,1.6,4611.84,8095.31,0,0,0,0,0,0,0
160,"FC056-4D_.4I._",140,50,620,310,1.4,3603.99,6375.02,0,0,0,0,0,0,0
161,"FC056-4D_.6F._",400,50,1300,1250,2.2,7804.43,13208.2,0,0,0,0,0,0,0
162,"FC056-4D_.6F._",230,50,950,780,2.4,5736.56,10106.39,0,0,0,0,0,0,0
163,"FC056-4D_.6F._",180,50,760,550,2.2,4429.51,8116.56,0,0,0,0,0,0,0
164,"FC056-4D_.6F._",140,50,600,360,1.9,3434.59,6302.3,0,0,0,0,0,0,0
165,"FC056-6D_.4F._",400,50,860,390,0.8100000000000001,5098.36,8606.559999999999,0,0,0,0,0,0,0
166,"FC056-6D_.4F._",230,50,560,210,0.75,3182.95,5947.54,0,0,0,0,0,0,0
167,"FC056-6D_.4F._",180,50,420,135,0.63,2525.25,4453.77,0,0,0,0,0,0,0
168,"FC056-6D_.4F._",140,50,330,80,0.51,1905.6,3375.92,0,0,0,0,0,0,0
169,"FC056-6E_.4F._",230,50,880,430,1.95,5195.53,8882.68,0,0,0,0,0,0,0
170,"FC056-6E_.4F._",160,50,670,280,1.85,4027,7239.29,0,0,0,0,0,0,0
171,"FC056-6E_.4F._",130,50,500,195,1.65,2979.52,5609.87,0,0,0,0,0,0,0
172,"FC056-6E_.4F._",105,50,390,130,1.4,2199.72,4085.2,0,0,0,0,0,0,0
173,"FC063-4D_.6K._",400,50,1360,1900,3.2,12175.41,18780.33,0,0,0,0,0,0,0
174,"FC063-4D_.6K._",230,50,1110,1350,3.8,9639.34,15575.41,0,0,0,0,0,0,0
175,"FC063-4D_.6K._",180,50,920,1050,3.8,8162.3,13150.82,0,0,0,0,0,0,0
176,"FC063-4D_.6K._",140,50,740,730,3.4,6295.08,10382.51,0,0,0,0,0,0,0
177,"FC063-6D_.4I._",400,50,890,590,1.3,7627.7,12158.5,0,0,0,0,0,0,0
178,"FC063-6D_.4I._",230,50,610,360,1.3,5393.06,9062.799999999999,0,0,0,0,0,0,0
179,"FC063-6D_.4I._",180,50,480,230,1.1,4198.85,6883.8,0,0,0,0,0,0,0
180,"FC063-6D_.4I._",140,50,360,140,0.9,3072.01,5214.4,0,0,0,0,0,0,0
181,"FC063-6E_.4I._",230,50,880,600,2.7,7156.41,12054.65,0,0,0,0,0,0,0
182,"FC063-6E_.4I._",160,50,650,420,2.8,5176.35,9696.799999999999,0,0,0,0,0,0,0
183,"FC063-6E_.4I._",130,50,480,300,2.6,3847.81,7400.38,0,0,0,0,0,0,0
184,"FC063-6E_.4I._",105,50,360,200,2.2,2948.12,5432.06,0,0,0,0,0,0,0
185,"FC071-4D_.7M._",400,50,1350,2900,4.9,13775.92,24542.37,0,0,0,0,0,0,0
186,"FC071-4D_.7M._",230,50,1120,2100,5.7,11981.46,20823.86,0,0,0,0,0,0,0
187,"FC071-4D_.7M._",180,50,940,1600,5.7,10041.4,17742.7,0,0,0,0,0,0,0
188,"FC071-4D_.7M._",140,50,750,1100,5.2,7552.97,14121.58,0,0,0,0,0,0,0
189,"FC071-6D_.6K._",400,50,890,890,1.8,11039.53,17013.18,0,0,0,0,0,0,0
190,"FC071-6D_.6K._",230,50,710,600,1.8,8872.620000000001,14026.35,0,0,0,0,0,0,0
191,"FC071-6D_.6K._",180,50,600,440,1.75,7398.31,11825.07,0,0,0,0,0,0,0
192,"FC071-6D_.6K._",140,50,480,300,1.55,5969.31,9616.610000000001,0,0,0,0,0,0,0
193,"FC071-6E_.6K._",230,50,850,890,4.1,10831.26,16485.81,0,0,0,0,0,0,0
194,"FC071-6E_.6K._",160,50,620,650,4.5,7938.68,12844.6,0,0,0,0,0,0,0
195,"FC071-6E_.6K._",130,50,460,470,4.2,5842.51,9835.74,0,0,0,0,0,0,0
196,"FC071-6E_.6K._",105,50,350,310,3.5,4300.65,7187.66,0,0,0,0,0,0,0
197,"FC071-8D_.6F._",400,50,640,420,1.1,7902,12159.71,0,0,0,0,0,0,0
198,"FC071-8D_.6F._",230,50,480,240,0.83,5968.54,9280.1,0,0,0,0,0,0,0
199,"FC071-8D_.6F._",180,50,390,160,0.75,4878.4,7572.9,0,0,0,0,0,0,0
200,"FC071-8D_.6F._",140,50,310,110,0.64,3911.68,6112.52,0,0,0,0,0,0,0
201,"FC080-6D_.6K._",400,50,900,1400,2.7,12889.2,23119.26,0,0,0,0,0,0,0
202,"FC080-6D_.6K._",230,50,690,940,3,10029.56,18831.59,0,0,0,0,0,0,0
203,"FC080-6D_.6K._",180,50,560,670,2.8,8054.54,15738.85,0,0,0,0,0,0,0
204,"FC080-6D_.6K._",140,50,430,430,2.4,6292.07,12170.93,0,0,0,0,0,0,0
205,"FC080-8D_.6K._",400,50,670,690,1.75,11371.37,17363.95,0,0,0,0,0,0,0
206,"FC080-8D_.6K._",230,50,500,430,1.6,9321.27,13894.56,0,0,0,0,0,0,0
207,"FC080-8D_.6K._",180,50,390,290,1.45,7271.18,10819.42,0,0,0,0,0,0,0
208,"FC080-8D_.6K._",140,50,300,180,1.2,5536.49,8220.299999999999,0,0,0,0,0,0,0
209,"FC090-6D_.7Q._",400,50,870,3400,6.3,23171.58,35665.04,0,0,0,0,0,0,0
210,"FC090-6D_.7Q._",230,50,620,1900,6,16710.55,28768.4,0,0,0,0,0,0,0
211,"FC090-6D_.7Q._",180,50,480,1250,5.4,12955.39,21412.09,0,0,0,0,0,0,0
212,"FC090-6D_.7Q._",140,50,380,800,4.6,10293.93,16611.18,0,0,0,0,0,0,0
213,"FC090-8D_.7M._",400,50,680,1750,3.6,17158.76,28863.68,0,0,0,0,0,0,0
214,"FC090-8D_.7M._",230,50,520,1200,4,13618.48,24525.34,0,0,0,0,0,0,0
215,"FC090-8D_.7M._",180,50,440,930,3.8,11414.31,20725.04,0,0,0,0,0,0,0
216,"FC090-8D_.7M._",140,50,340,610,3.4,8450.07,16354.69,0,0,0,0,0,0,0
217,"FC100-8D_.7Q._",400,50,670,2200,4.2,19879.98,34666.04,0,0,0,0,0,0,0
218,"FC100-8D_.7Q._",230,50,530,1500,4.7,14633.31,28889.41,0,0,0,0,0,0,0
219,"FC100-8D_.7Q._",180,50,420,930,3.7,11559.5,22953.78,0,0,0,0,0,0,0
220,"FC100-8D_.7Q._",140,50,340,600,3.1,8750.68,17707.12,0,0,0,0,0,0,0
221,"FE031-4D_.0C._",400,50,1410,120,0.29,1076.55,2220.67,0,0,0,0,0,0,0
222,"FE031-4D_.0C._",230,50,1230,92,0.26,971.52,2040.84,0,0,0,0,0,0,0
223,"FE031-4D_.0C._",180,50,1050,77,0.28,874.97,1835.92,0,0,0,0,0,0,0
224,"FE031-4D_.0C._",140,50,830,57,0.26,715.6900000000001,1518.08,0,0,0,0,0,0,0
225,"FE031-4E_.0C._",230,50,1400,130,0.59,1190.55,2213.11,0,0,0,0,0,0,0
226,"FE031-4E_.0C._",160,50,1260,105,0.66,994.83,2113.25,0,0,0,0,0,0,0
227,"FE031-4E_.0C._",130,50,850,90,0.74,808.59,1846.63,0,0,0,0,0,0,0
228,"FE031-4E_.0C._",105,50,550,63,0.65,535.98,1130.14,0,0,0,0,0,0,0
229,"FE035-4D_.0C._",400,50,1360,175,0.34,1642.04,3100.16,0,0,0,0,0,0,0
230,"FE035-4D_.0C._",230,50,1050,130,0.36,1254.52,2679.8,0,0,0,0,0,0,0
231,"FE035-4D_.0C._",160,50,840,94,0.34,1064.04,2193.76,0,0,0,0,0,0,0
232,"FE035-4D_.0C._",140,50,630,62,0.29,801.3099999999999,1655.17,0,0,0,0,0,0,0
233,"FE035-4E_.0F._",230,50,1400,200,0.9,1674.69,3139.22,0,0,0,0,0,0,0
234,"FE035-4E_.0F._",160,50,1230,170,1.1,1405.22,2986.91,0,0,0,0,0,0,0
235,"FE035-4E_.0F._",130,50,920,140,1.15,1200.18,2705.72,0,0,0,0,0,0,0
236,"FE035-4E_.0F._",105,50,510,99,1.05,827.29,1739.13,0,0,0,0,0,0,0
237,"FE040-4E_.2F._",230,50,1320,310,1.35,2207.68,4729.49,0,0,0,0,0,0,0
238,"FE040-4E_.2F._",160,50,870,260,1.7,2116.45,4045.69,0,0,0,0,0,0,0
239,"FE040-4E_.2F._",130,50,470,185,1.55,1176.96,2500.52,0,0,0,0,0,0,0
240,"FE040-4E_.2F._",105,50,350,120,1.25,716.13,1496.06,0,0,0,0,0,0,0
241,"FE042-4E_.2F._",230,50,1280,370,1.6,2054.11,5177.4,0,0,0,0,0,0,0
242,"FE042-4E_.2F._",160,50,840,260,1.75,1996.96,4240.31,0,0,0,0,0,0,0
243,"FE042-4E_.2F._",130,50,500,185,1.55,1414.21,2917.64,0,0,0,0,0,0,0
244,"FE042-4E_.2F._",105,50,380,125,1.3,592.71,1915.99,0,0,0,0,0,0,0
245,"FE045-4E_.4I._",230,50,1310,610,2.8,2940.52,5411.48,0,0,0,0,0,0,0
246,"FE045-4E_.4I._",160,50,1110,460,2.9,2623.3,4843.83,0,0,0,0,0,0,0
247,"FE045-4E_.4I._",130,50,890,350,2.9,1955.48,4092.52,0,0,0,0,0,0,0
248,"FE045-4E_.4I._",105,50,710,260,2.3,1588.17,3341.22,0,0,0,0,0,0,0
249,"FE045-6E_.4F._",230,50,910,210,0.91,2235.36,4916.08,0,0,0,0,0,0,0
250,"FE045-6E_.4F._",160,50,640,160,1.1,1976.58,4232.63,0,0,0,0,0,0,0
251,"FE045-6E_.4F._",130,50,330,105,0.95,1170.01,2057.68,0,0,0,0,0,0,0
252,"FE045-6E_.4F._",105,50,260,70,0.78,855.1900000000001,1469.34,0,0,0,0,0,0,0
253,"FE050-4E_.4I._",230,50,1210,770,3.4,5339.62,9063.93,0,0,0,0,0,0,0
254,"FE050-4E_.4I._",160,50,930,520,3.4,3932.33,7799.6,0,0,0,0,0,0,0
255,"FE050-4E_.4I._",130,50,730,360,2.9,2966.82,6190.41,0,0,0,0,0,0,0
256,"FE050-4E_.4I._",105,50,590,260,2.6,2423.01,5116.39,0,0,0,0,0,0,0
257,"FE050-6E_.4F._",230,50,890,290,1.25,3436.05,6403.87,0,0,0,0,0,0,0
258,"FE050-6E_.4F._",160,50,590,195,1.3,2058.14,5407.53,0,0,0,0,0,0,0
259,"FE050-6E_.4F._",130,50,410,130,1.1,1730.41,3671.36,0,0,0,0,0,0,0
