IdFanModel,Model,Voltage,Frequency,Xmin,Xmax,Giri,PotenzaAssorbita,CorrenteAssorbita,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,PotenzaSonora,PressioneSonora
56,"FB056-6E_.4F._L",105,50,1579.5,2716.56,330,83,0.9,1579.5,1682.02,1803.18,1915.02,2036.18,2148.03,2259.87,2362.39,2474.23,2595.39,2716.56,7.34,6.67,6.12,5.46,4.68,4.02,3.24,2.69,1.8,1.03,0.14,0,0
57,"FB056-6E_.4I._P",230,50,5000.12,7087.65,910,350,0.16,5000.12,5213.51,5405.46,5618.74,5810.48,6045,6225.95,6449.46,6672.86,6896.27,7087.65,58.37,54.06,49.75,44.98,39.75,34.06,28.52,21.6,14.22,6.84,0.03,0,0
58,"FB056-6E_.4I._P",160,50,3955.35,6262.31,730,280,0.19,3955.35,4169.19,4425.91,4650.34,4874.8,5109.94,5334.19,5579.59,5803.7,6016.95,6262.31,36.3,33.99,31.68,28.75,25.97,23.04,19.35,14.42,10.11,5.19,0.07000000000000001,0,0
59,"FB056-6E_.4I._P",130,50,2772.64,4879.6,550,210,0.19,2772.64,2997.38,3200.68,3404.02,3628.58,3821.27,4045.91,4249.04,4452.13,4665.8,4879.6,20.39,18.84,17.3,15.91,13.59,12.51,10.5,8.19,5.72,2.64,0.13,0,0
60,"FB056-6E_.4I._P",105,50,1966.56,3453.98,380,145,0.155,1966.56,2105.72,2266.29,2416.25,2566.17,2694.58,2855.12,3004.9,3154.57,3293.6,3453.98,10.91,10.13,9.210000000000001,8.74,8.119999999999999,7.19,6.11,4.87,3.18,1.79,0.05,0,0
61,"FB056-8E_.4F._P",230,50,3562.07,5111.75,680,200,0.1,3562.07,3720.61,3869.35,4028.03,4186.89,4325.99,4484.99,4634.15,4813.08,4962.37,5111.75,30.8,28.86,26.73,24.4,21.49,18.68,15.39,11.99,8.119999999999999,4.34,0.26,0,0
62,"FB056-8E_.4F._P",160,50,2855.12,4480.15,510,130,0.9399999999999999,2855.12,3013.41,3181.65,3349.97,3518.28,3666.89,3825.46,3984.1,4152.71,4311.51,4480.15,20.09,18.93,17.48,15.84,14.19,12.45,10.42,8.19,5.67,2.96,0.34,0,0
63,"FB056-8E_.4F._P",130,50,2176.9,3631.47,410,94,0.83,2176.9,2315.29,2463.64,2611.92,2760.27,2918.59,3047.26,3195.74,3334.35,3522.4,3631.47,12.01,11.34,10.37,9.6,8.630000000000001,7.38,6.22,4.86,3.51,1.86,0.31,0,0
64,"FB056-8E_.4F._P",105,50,1616.29,2694.02,310,62,0.7,1616.29,1724.97,1813.92,1932.5,2060.98,2149.93,2268.54,2377.32,2466.4,2585.17,2694.02,6.36,5.98,5.59,5.11,4.53,4.15,3.57,2.89,2.12,1.05,0.18,0,0
65,"FB063-4D_.4M._L",400,50,7775.78,12541.83,1300,1100,0.22,7775.78,8271.99,8747.200000000001,9160.129999999999,9717.74,10171.75,10625.5,11099.72,11573.73,12027.01,12541.83,154.77,146.65,136.29,125.1,111.11,97.12,81.18000000000001,63.28,43.7,24.12,-0.21,0,0
