IDCompressor,Description,CMax,CStart,Var01,Var02,Var03,Var04,Var05,Var06,Var07,Var08,Var09,Var10,Var11,Var12,FattMolt,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24
2229,"SH120",0,0,2392.2,-12.73,131.11,-0.5028,1.4685,-1.389,-0.0038547,0.0087203,-0.017793,0.024511,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0
2230,"SH161",0,0,3483.8,31.013,134.39,1.0129,-0.25387,-1.2323,0.011488,-0.01477,-0.0068614,0.031088,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0
2231,"SH180",0,0,3389.8,-21.822,184.5,-1.2661,1.2707,-1.8486,-0.013687,0.041289,-0.022599,0.036438,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0
2232,"SH240",0,0,5404.2,104.3,160.88,3.5955,-4.2326,-0.26502,0.037066,-0.07414800000000001,0.038646,0.03408,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0
2233,"SH300",0,0,7695.4,9.224600000000001,220.36,0.51149,-0.42718,-0.80342,0.011657,-0.021728,0.0045715,0.041877,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0
2234,"SH380",0,0,5678.7,-84.26600000000001,477.66,-1.9585,4.8991,-5.7427,-0.025243,0.049689,-0.056409,0.08298999999999999,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0
2235,"134-S-71",0,0,34.223,0.93086,-0.39163,0.015046,-0.019226,0.015812,4.473e-05,-0.00025337,0.00020477,-5.9916e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2236,"134-S-81",0,0,38.109,1.0259,-0.43418,0.01658,-0.02138,0.017575,4.8973e-05,-0.00028214,0.00022528,-6.6455e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2237,"134-S-91",0,0,42.821,1.1647,-0.49003,0.018827,-0.024057,0.019785,5.5969e-05,-0.00031702,0.00025622,-7.497e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2238,"134-S-101",0,0,46.096,1.2538,-0.52751,0.020266,-0.025896,0.021298,6.0249e-05,-0.00034127,0.00027582,-8.070400000000001e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2239,"134-S-110",0,0,49.828,1.5086,-0.35857,0.036378,-0.03911,0.01429,0.00036133,-0.00056186,0.00041457,2.77e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2240,"CSH 95101-280Y_100",0,0,34958,-229.54,3595.1,1.1797,39.846,-43.645,0.21024,0.19082,-0.28911,0.51785,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0
2241,"CSH 95111-320Y_100",0,0,53166,-1300.5,2748.5,-50.73,93.018,-23.102,-0.37944,1.3906,-0.89551,0.39828,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0
2242,"CSW 6583-40Y_100",0,0,14318,57.969,-131.38,-4.7111,-1.0296,10.291,-0.14415,0.19183,-0.017961,0.00053615,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0
2243,"CSW 6593-50Y_100",0,0,16154,65.401,-148.22,-5.3151,-1.1616,11.61,-0.16263,0.21643,-0.020264,0.00060489,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0
2244,"CSW 7573-60Y_100",0,0,15513,-155.5,87.914,-9.118499999999999,5.7723,11.672,-0.19814,0.26741,-0.05072,-0.03214,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0
2245,"CSW 7583-70Y_100",0,0,17738,-177.8,100.52,-10.426,6.6001,13.346,-0.22656,0.30576,-0.057993,-0.036749,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0
2246,"CSW 7593-80Y_100",0,0,20203,-202.51,114.49,-11.875,7.5174,15.201,-0.25805,0.34826,-0.066053,-0.041857,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0
